catagory,Feed Name,Location,Feed URL,Site URL,Facebook Followers,Twitter Followers,Instagram Followers,post count,Description
Yahoo News RSS Feeds,Yahoo News » Latest News & Headlines RSS Feed,"New York City, New York, US",https://www.yahoo.com/news/rss,https://www.yahoo.com/news/,7.6M,1.1M,159.8K,21 posts / day,The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.
Yahoo News RSS Feeds,Yahoo News » US RSS Feed,"New York City, New York, US",,https://news.yahoo.com/us/,7.6M,1.1M,N/A,8 posts / week,The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.
Yahoo News RSS Feeds,Yahoo News » World RSS Feed,"New York City, New York, US",,https://news.yahoo.com/world/,7.6M,1.1M,N/A,9 posts / week,The latest World news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.
Yahoo News RSS Feeds,Yahoo News » Politics RSS Feed,"New York City, New York, US",,https://news.yahoo.com/politics/,7.6M,1.1M,N/A,9 posts / week,"Get the latest news, commentary, and video for political events, politics, and the government."
Yahoo News RSS Feeds,Yahoo News » Health RSS Feed,"New York City, New York, US",,https://news.yahoo.com/health/,7.6M,1.1M,N/A,18 posts / month,Get the latest news from the health care industry.
Yahoo News RSS Feeds,Yahoo News » Finance RSS Feed,"New York City, New York, US",https://finance.yahoo.com/news/rssindex,https://finance.yahoo.com/,1.1M,1.6M,N/A,17 posts / day,"At Yahoo Finance, you get free stock quotes, up-to-date news, portfolio management resources, international market data, social interaction and mortgage rates that help you manage your financial life."
Yahoo News RSS Feeds,Yahoo News » Science RSS Feed,"New York City, New York, US",,https://news.yahoo.com/science/,7.6M,1.1M,N/A,9 posts / week,"The latest health and science news. Updates on medicine, healthy living, nutrition, drugs, diet, and advances in science and technology."
Yahoo News RSS Feeds,Yahoo News » Sports RSS Feed,"New York City, New York, US",https://sports.yahoo.com/cycling/rss/,https://sports.yahoo.com/,3.1M,515K,N/A,6 posts / day,"Yahoo! Sports - Comprehensive news, scores, standings, fantasy games, rumors, and more."
Yahoo News RSS Feeds,Yahoo News » Entertainment RSS Feed,"New York City, New York, US",https://www.yahoo.com/entertainment/rss,https://www.yahoo.com/entertainment/,3.8M,603.6K,305.1K,11 posts / day,"Yahoo Entertainment is your source for the latest TV, movies, music, and celebrity news, including interviews, trailers, photos, and first looks."
Yahoo News RSS Feeds,Yahoo News » Lifestyle RSS Feed,"New York City, New York, US",https://www.yahoo.com/lifestyle/rss,https://www.yahoo.com/lifestyle/,2.2M,45.9K,N/A,9 posts / day,"Yahoo Life is your source for style, beauty, and wellness, including health, inspiring stories, and the latest fashion trends."
Yahoo News RSS Feeds,Yahoo News » Coronavirus News RSS Feed,"New York City, New York, US",,https://news.yahoo.com/coronavirus,7.6M,1.1M,412.5K,2 posts / month,The latest coronavirus news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.
